Time (s),Total Torch(N.m)
[480.0],113.1158612251006
[481.0],112.86454360954133
[482.0],112.50935600915989
[483.0],112.17148897449076
[484.0],111.80814383008311
[485.0],111.4642873419123
[486.0],111.10199653306422
[487.0],110.76444641088058
[488.0],110.4082477141603
[489.0],112.52734942025711
[490.0],111.93441597293922
[491.0],111.7499035759793
[492.0],111.38703931997452
[493.0],111.10453629069306
[494.0],110.73025228304549
[495.0],110.4323200086684
[496.0],110.06683922157855
[497.0],109.75415191723187
[498.0],109.40005793690699
[499.0],111.26845917829571
[500.0],110.75181070604616
[501.0],110.64090887021123
[502.0],110.35979270195526
[503.0],110.0989196004254
[504.0],109.78349626650882
[505.0],109.48081156810244
[506.0],109.15060757256951
[507.0],108.83144898354843
[508.0],108.49743516282498
[509.0],111.44511068627826
[510.0],110.74059528445338
[511.0],110.7884908816477
[512.0],110.34166002071463
[513.0],110.19718171554007
[514.0],109.75986940585999
[515.0],109.51422507430273
[516.0],109.09336873244013
[517.0],108.79684158124427
[518.0],108.39376105300954
[519.0],110.1449613600285
[520.0],109.29228594832709
[521.0],109.11084884362602
[522.0],108.66712007173467
[523.0],108.42894056820185
[524.0],108.04606395786767
[525.0],107.77273591837601
[526.0],107.41114450885344
[527.0],107.11886779404198
[528.0],106.77230801073061
[529.0],107.07692466177616
[530.0],106.3604347246595
[531.0],106.17473686665332
[532.0],105.78547354235955
[533.0],105.55375945919344
[534.0],105.2160969778058
[535.0],104.9674145266155
[536.0],104.65090936346718
[537.0],104.38893295623521
[538.0],104.08400795514976
[539.0],107.83827590292256
[540.0],106.02983702673386
[541.0],105.89699898480652
[542.0],105.2822551022637
[543.0],105.23255078380542
[544.0],104.75495358552983
[545.0],104.61570420315903
[546.0],104.20670076316797
[547.0],104.00861742377508
[548.0],103.64086220040534
[549.0],105.4208986373769
[550.0],103.19211138348074
[551.0],103.39994744705645
[552.0],102.76953494218131
[553.0],102.74887255543209
[554.0],102.27049780410042
[555.0],102.15212348190968
[556.0],101.74499033918
[557.0],101.56176257427519
[558.0],101.19645778275301
[559.0],106.79603921027126
[560.0],104.37858034724765
[561.0],104.14955299149042
[562.0],103.00411234011347
[563.0],102.69687311409147
[564.0],101.90615225157454
[565.0],101.84635739001571
[566.0],101.41903957823712
[567.0],101.26329209412509
[568.0],100.87552610018376
[569.0],102.2919131727504
[570.0],100.7569935635565
[571.0],100.35821635314942
[572.0],99.63437848166882
[573.0],99.20293528867927
[574.0],98.64256677069305
[575.0],98.25043167364504
[576.0],97.77970151387657
[577.0],97.44930933330994
[578.0],97.09536007957949
[579.0],103.64848264470425
[580.0],99.83515440343125
[581.0],99.5296503792696
[582.0],98.08067737913704
[583.0],98.23065646673089
[584.0],97.61910709312308
[585.0],97.62051102986736
[586.0],97.14513202369555
[587.0],97.05360891742741
[588.0],96.66144304038426
[589.0],107.23698404803163
[590.0],105.26078644725224
[591.0],105.69664868326973
[592.0],104.8836911637216
[593.0],104.9338293266719
[594.0],104.31721311852107
[595.0],104.23069162612353
[596.0],103.73290419244451
[597.0],103.57136337464296
[598.0],103.15318910395696
[599.0],111.87617001765929
[600.0],107.2893073191747
[601.0],107.2196530907879
[602.0],105.72024779485794
[603.0],106.3277655453764
[604.0],105.38467741284104
[605.0],105.70368161652326
[606.0],105.04960467052798
[607.0],105.18814342413974
[608.0],104.7125702302129
[609.0],120.25403569714565
[610.0],113.91046130389618
[611.0],113.73319532845362
[612.0],110.17198419649597
[613.0],111.05703409118267
[614.0],109.73118769107712
[615.0],110.20099100567734
[616.0],109.28842802283717
[617.0],109.50409640932968
[618.0],108.84982829494292
