Time (s),left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_elbow_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_elbow_pitch_joint
43.0,-2.3453767386498594,-7.30571865408711,-1.413566706825614,-2.8258053560958283,-3.494605007130314,1.6961438981022532,-3.4108302005092472,0.08674567722392312,0.8744828422333499,-6.749070869932444,-7.512591981595723,-3.0259322286464716,-1.7423819499925415,-1.7398248508581977,1.9023520829386111,2.991088402630544,1.7966814904933803,-0.6262479846005877
44.0,-2.30213275581544,-7.166961113022826,-1.3786677226596415,-2.4624458794252098,-3.425646811456276,1.4057353021139982,-3.3426758209123957,0.11052164778789508,0.8832143914524165,-6.390885595480803,-7.393697587608819,-3.069486106746253,-1.8993947294743967,-1.7286263673853561,1.3339935653807724,2.943960603034611,1.7365034678978322,-0.6389121150691812
45.0,-2.2986106956032053,-7.021464752623269,-1.2744557625015385,-2.146100080025257,-3.3609453990165266,1.5972716628596944,-3.278164855669155,0.13637585911554728,0.8829843186823865,-6.1136744057732715,-7.27011754886948,-2.957539981922003,-2.0010788771382595,-1.718392617852062,1.7382131576653936,2.8984918542709224,1.6747497087241388,-0.6397823343058233
46.0,-2.30235826334223,-6.88108869152399,-1.2180910677797567,-1.8560296849043842,-3.302238668235076,1.4217766081444059,-3.2174729148760806,0.1596914943024288,0.8784135103899746,-5.863979330051694,-7.154775146848591,-2.9314403902079817,-2.0754263757055362,-1.7037156909302649,1.40437924785611,2.854676083522513,1.6163628974002497,-0.6362523397566096
47.0,-2.330426204799005,-6.736814750510422,-1.1262302634448833,-1.5989061398685411,-3.2430922542167826,1.5248203517938372,-3.1598591930635314,0.18388874903819252,0.8686902726693431,-5.661022639029828,-7.035149539868827,-2.8270064489072517,-2.1197571070923504,-1.687811543444436,1.627494105620162,2.812129374766973,1.5577660516781715,-0.6270003158483255
48.0,-2.362781738837816,-6.595788040459366,-1.0653653741890072,-1.3614530206853868,-3.1886567472265943,1.4164059112660516,-3.1050185812446527,0.20619454921853841,0.8569829613956133,-5.475351540455879,-6.91959680433483,-2.7781595149718106,-2.1485266929506093,-1.6701488221212974,1.4291015265877731,2.770669329904646,1.5018716369715708,-0.6161222773851975
49.0,-7.432136524388127,-6.839183865071275,-3.508855699110373,-2.814484137181375,-5.240016749390962,1.9596360827336152,-4.313768115252225,1.1163075338441557,0.850719586180867,-8.89537880604206,-7.324671717991532,-2.6791335242461587,1.6955501771928436,-1.261415754473564,2.0181576946557054,3.1230560510159338,1.033859011430398,-0.5481046455399097
50.0,-7.034068565369189,-6.840870352694266,-3.0575467061749806,-2.4598538228609064,-3.6295772500281283,1.4280956355673076,-4.177193132169227,1.0933828799073193,0.982844354546489,-8.037082197151358,-7.207911024682681,-2.9642507221588703,1.0033186317047524,-1.3028148810317752,1.314814688485117,3.0554942507075844,1.0186057718453267,-0.623288165056493
51.0,-6.615568589968048,-6.79127983513779,-2.655523576649899,-1.8884106719629568,-3.8302879789235442,1.7636918895508602,-4.060257821319686,1.0768291233374216,1.0774447996238952,-7.410997919239703,-7.1022484412428435,-2.9430778888452247,0.49595795042636004,-1.3309854540199346,1.8419994436695237,2.998898484169769,0.9945732196759378,-0.6530089317962493
52.0,-6.251709491597992,-6.728716019204486,-2.3981980303924426,-1.4251891977748397,-3.699151924333556,1.4649276943811032,-3.968509765383266,1.0626667748598582,1.1305531238161797,-6.905628120467648,-7.01119379587794,-2.9728624906198213,0.09841482835258641,-1.3448447986603829,1.4280851061762352,2.949246429015488,0.9696748796364474,-0.6623314900177797
